date,service,cost_usd,account,tag_env,region
2024-06-07,AmazonS3,7.89,techflow-dev,dev,us-west-2
2024-06-07,AWSLambda,19.12,techflow-dev,dev,us-west-2
2024-06-08,AmazonEC2,111.45,techflow-prod,prod,us-east-1
2024-06-08,AmazonS3,23.56,techflow-prod,prod,us-east-1
2024-06-08,AWSLambda,42.78,techflow-prod,prod,us-east-1
2024-06-08,AmazonRDS,179.23,techflow-prod,prod,us-east-1
2024-06-08,AmazonCloudFront,17.89,techflow-prod,prod,us-east-1
2024-06-08,AmazonEC2,54.67,techflow-dev,dev,us-west-2
2024-06-08,AmazonS3,8.45,techflow-dev,dev,us-west-2
2024-06-08,AWSLambda,20.89,techflow-dev,dev,us-west-2
2024-06-09,AmazonEC2,115.23,techflow-prod,prod,us-east-1
2024-06-09,AmazonS3,25.34,techflow-prod,prod,us-east-1
2024-06-09,AWSLambda,45.67,techflow-prod,prod,us-east-1
2024-06-09,AmazonRDS,182.91,techflow-prod,prod,us-east-1
2024-06-09,AmazonCloudFront,19.45,techflow-prod,prod,us-east-1
2024-06-09,AmazonEC2,58.12,techflow-dev,dev,us-west-2
2024-06-09,AmazonS3,9.23,techflow-dev,dev,us-west-2
2024-06-09,AWSLambda,22.67,techflow-dev,dev,us-west-2
2024-06-10,AmazonEC2,275.89,techflow-prod,prod,us-east-1
2024-06-10,AmazonS3,67.45,techflow-prod,prod,us-east-1
2024-06-10,AWSLambda,123.78,techflow-prod,prod,us-east-1
2024-06-10,AmazonRDS,298.34,techflow-prod,prod,us-east-1
2024-06-10,AmazonCloudFront,89.67,techflow-prod,prod,us-east-1
2024-06-10,AmazonECS,145.23,techflow-prod,prod,us-east-1
2024-06-10,ElasticLoadBalancing,67.89,techflow-prod,prod,us-east-1
2024-06-10,AmazonEC2,89.34,techflow-dev,dev,us-west-2
2024-06-10,AmazonS3,23.56,techflow-dev,dev,us-west-2
2024-06-10,AWSLambda,45.67,techflow-dev,dev,us-west-2
2024-06-11,AmazonEC2,289.45,techflow-prod,prod,us-east-1
2024-06-11,AmazonS3,72.34,techflow-prod,prod,us-east-1
2024-06-11,AWSLambda,134.56,techflow-prod,prod,us-east-1
2024-06-11,AmazonRDS,312.78,techflow-prod,prod,us-east-1
2024-06-11,AmazonCloudFront,95.23,techflow-prod,prod,us-east-1
2024-06-11,AmazonECS,156.89,techflow-prod,prod,us-east-1
2024-06-11,ElasticLoadBalancing,73.45,techflow-prod,prod,us-east-1
2024-06-11,AmazonEC2,94.67,techflow-dev,dev,us-west-2
2024-06-11,AmazonS3,25.12,techflow-dev,dev,us-west-2
2024-06-11,AWSLambda,48.23,techflow-dev,dev,us-west-2
2024-06-12,AmazonEC2,298.67,techflow-prod,prod,us-east-1
2024-06-12,AmazonS3,76.89,techflow-prod,prod,us-east-1
2024-06-12,AWSLambda,142.34,techflow-prod,prod,us-east-1
2024-06-12,AmazonRDS,324.56,techflow-prod,prod,us-east-1
2024-06-12,AmazonCloudFront,101.78,techflow-prod,prod,us-east-1
2024-06-12,AmazonECS,167.23,techflow-prod,prod,us-east-1
2024-06-12,ElasticLoadBalancing,78.91,techflow-prod,prod,us-east-1
2024-06-12,AmazonEC2,98.45,techflow-dev,dev,us-west-2
2024-06-12,AmazonS3,26.78,techflow-dev,dev,us-west-2
2024-06-12,AWSLambda,51.23,techflow-dev,dev,us-west-2
2024-06-13,AmazonEC2,305.23,techflow-prod,prod,us-east-1
2024-06-13,AmazonS3,81.45,techflow-prod,prod,us-east-1
2024-06-13,AWSLambda,149.67,techflow-prod,prod,us-east-1
2024-06-13,AmazonRDS,334.89,techflow-prod,prod,us-east-1
2024-06-13,AmazonCloudFront,107.34,techflow-prod,prod,us-east-1
2024-06-13,AmazonECS,176.78,techflow-prod,prod,us-east-1
2024-06-13,ElasticLoadBalancing,83.56,techflow-prod,prod,us-east-1
2024-06-13,AmazonEC2,102.89,techflow-dev,dev,us-west-2
2024-06-13,AmazonS3,28.34,techflow-dev,dev,us-west-2
2024-06-13,AWSLambda,54.67,techflow-dev,dev,us-west-2
2024-06-14,AmazonEC2,312.78,techflow-prod,prod,us-east-1
2024-06-14,AmazonS3,85.23,techflow-prod,prod,us-east-1
2024-06-14,AWSLambda,156.45,techflow-prod,prod,us-east-1
2024-06-14,AmazonRDS,345.67,techflow-prod,prod,us-east-1
2024-06-14,AmazonCloudFront,112.89,techflow-prod,prod,us-east-1
2024-06-14,AmazonECS,185.34,techflow-prod,prod,us-east-1
2024-06-14,ElasticLoadBalancing,87.78,techflow-prod,prod,us-east-1
2024-06-14,AmazonEC2,106.45,techflow-dev,dev,us-west-2
2024-06-14,AmazonS3,29.89,techflow-dev,dev,us-west-2
2024-06-14,AWSLambda,57.23,techflow-dev,dev,us-west-2
2024-06-15,AmazonEC2,189.34,techflow-prod,prod,us-east-1
2024-06-15,AmazonS3,54.67,techflow-prod,prod,us-east-1
2024-06-15,AWSLambda,87.23,techflow-prod,prod,us-east-1
2024-06-15,AmazonRDS,234.56,techflow-prod,prod,us-east-1
2024-06-15,AmazonCloudFront,71.89,techflow-prod,prod,us-east-1
2024-06-15,AmazonECS,123.45,techflow-prod,prod,us-east-1
2024-06-15,ElasticLoadBalancing,58.78,techflow-prod,prod,us-east-1
2024-06-15,AmazonEC2,67.89,techflow-dev,dev,us-west-2
2024-06-15,AmazonS3,18.23,techflow-dev,dev,us-west-2
2024-06-15,AWSLambda,34.56,techflow-dev,dev,us-west-2
2024-06-16,AmazonEC2,195.67,techflow-prod,prod,us-east-1
2024-06-16,AmazonS3,58.23,techflow-prod,prod,us-east-1
2024-06-16,AWSLambda,92.45,techflow-prod,prod,us-east-1
2024-06-16,AmazonRDS,245.89,techflow-prod,prod,us-east-1
2024-06-16,AmazonCloudFront,76.34,techflow-prod,prod,us-east-1
2024-06-16,AmazonECS,134.78,techflow-prod,prod,us-east-1
2024-06-16,ElasticLoadBalancing,62.67,techflow-prod,prod,us-east-1
2024-06-16,AmazonEC2,71.23,techflow-dev,dev,us-west-2
2024-06-16,AmazonS3,19.89,techflow-dev,dev,us-west-2
2024-06-16,AWSLambda,37.45,techflow-dev,dev,us-west-2
2024-06-17,AmazonEC2,201.89,techflow-prod,prod,us-east-1
2024-06-17,AmazonS3,61.78,techflow-prod,prod,us-east-1
2024-06-17,AWSLambda,97.34,techflow-prod,prod,us-east-1
2024-06-17,AmazonRDS,256.45,techflow-prod,prod,us-east-1
2024-06-17,AmazonCloudFront,80.67,techflow-prod,prod,us-east-1
2024-06-17,AmazonECS,145.23,techflow-prod,prod,us-east-1
2024-06-17,ElasticLoadBalancing,66.89,techflow-prod,prod,us-east-1
2024-06-17,AmazonEC2,74.56,techflow-dev,dev,us-west-2
2024-06-17,AmazonS3,21.34,techflow-dev,dev,us-west-2
2024-06-17,AWSLambda,40.78,techflow-dev,dev,us-west-2
2024-06-18,AmazonEC2,208.45,techflow-prod,prod,us-east-1
2024-06-18,AmazonS3,65.23,techflow-prod,prod,us-east-1
2024-06-18,AWSLambda,102.67,techflow-prod,prod,us-east-1
2024-06-18,AmazonRDS,267.89,techflow-prod,prod,us-east-1
2024-06-18,AmazonCloudFront,84.34,techflow-prod,prod,us-east-1
2024-06-18,AmazonECS,154.78,techflow-prod,prod,us-east-1
2024-06-18,ElasticLoadBalancing,70.56,techflow-prod,prod,us-west-2
2024-06-18,AmazonEC2,78.23,techflow-dev,dev,us-west-2
2024-06-18,AmazonS3,22.89,techflow-dev,dev,us-west-2
2024-06-18,AWSLambda,43.45,techflow-dev,dev,us-west-2
2024-06-19,AmazonEC2,214.78,techflow-prod,prod,us-east-1
2024-06-19,AmazonS3,68.91,techflow-prod,prod,us-east-1
2024-06-19,AWSLambda,107.23,techflow-prod,prod,us-east-1
2024-06-19,AmazonRDS,278.56,techflow-prod,prod,us-east-1
2024-06-19,AmazonCloudFront,88.67,techflow-prod,prod,us-east-1
2024-06-19,AmazonECS,163.45,techflow-prod,prod,us-east-1
2024-06-19,ElasticLoadBalancing,74.89,techflow-prod,prod,us-east-1
2024-06-19,AmazonEC2,81.67,techflow-dev,dev,us-west-2
2024-06-19,AmazonS3,24.34,techflow-dev,dev,us-west-2
2024-06-19,AWSLambda,46.78,techflow-dev,dev,us-west-2
2024-06-20,AmazonEC2,221.34,techflow-prod,prod,us-east-1
2024-06-20,AmazonS3,72.45,techflow-prod,prod,us-east-1
2024-06-20,AWSLambda,112.89,techflow-prod,prod,us-east-1
2024-06-20,AmazonRDS,289.67,techflow-prod,prod,us-east-1
2024-06-20,AmazonCloudFront,92.23,techflow-prod,prod,us-east-1
2024-06-20,AmazonECS,171.78,techflow-prod,prod,us-east-1
2024-06-20,ElasticLoadBalancing,78.45,techflow-prod,prod,us-east-1
2024-06-20,AmazonEC2,84.89,techflow-dev,dev,us-west-2
2024-06-20,AmazonS3,25.78,techflow-dev,dev,us-west-2
2024-06-20,AWSLambda,49.34,techflow-dev,dev,us-west-2
